No.,Gene,Log(FC),Adj-Pvalue,HR,Adj-Pvalue
14402,RP11-1191J2.5,-0.20971693,0.180663254,0,0
14403,AF001548.6,0.215504499,0.180710404,0,0
14404,CDR2L,0.130648513,0.180711932,1.063,0.4404
14405,SURF1,0.110738775,0.180734129,0.9108,0.3502
14406,C22orf34,-0.146501521,0.180750274,0.957,0.4869
14407,AC058791.1,-0.253467098,0.18076416,0,0
14408,TTL,-0.084629052,0.180786957,1.317,0.01472
14409,KIF5B,0.073476149,0.180863284,0.8848,0.1879
14410,Y_RNA,-0.239374847,0.180969107,0,0
14411,FAM155A,0.198740475,0.181025778,1.04,0.4647
14412,SHMT2,-0.114096041,0.181088489,1.035,0.6102
14413,RP11-66B24.2,-0.196178136,0.181099525,0,0
14414,KCNIP3,-0.269822178,0.181141697,1.152,0.001169
14415,RPS26P3,-0.191813556,0.181279847,1.103,0.1794
14416,FTH1P1,-0.191374818,0.181371354,1.183,0.01463
14417,CTB-39G8.3,-0.200372573,0.181401002,0,0
14418,AC023590.1,-0.271688756,0.181468477,0,0
14419,SLC8A1,0.150926379,0.181470795,0.8766,0.01001
14420,C15orf61,0.107580234,0.18154769,0.8911,0.2496
14421,RNA5SP301,0.236335247,0.181548664,0.8863,0.02804
14422,AGRP,-0.233833586,0.181557088,1.138,0.0134
14423,NRL,0.124432672,0.1815617,1.026,0.7659
14424,CXCL16,-0.117723541,0.181567017,1.077,0.3223
14425,RP1-47A17.1,0.268670784,0.181582954,0,0
14426,UNK,0.059299549,0.181585969,1.164,0.2063
14427,RP11-483L5.1,-0.247086537,0.181636787,0,0
14428,RP11-16E18.3,-0.121307166,0.181723955,0,0
14429,AC005306.3,-0.249769296,0.181799367,0,0
14430,RP11-24M17.4,-0.195159675,0.181802273,0,0
14431,RP11-671J11.7,-0.222906971,0.181819249,0,0
14432,ST13P4,0.139034254,0.181835619,0.7974,0.0001394
14433,ZNF324,0.05688867,0.181849176,0.8325,0.08998
14434,KISS1R,0.324056589,0.181946671,1.001,0.9687
14435,KLHL13,0.158679018,0.182193071,0.8974,0.03547
14436,CTC-325H20.4,0.099663252,0.182226756,0,0
14437,DGKD,0.120675002,0.182240787,1.053,0.4219
14438,FAM189A1,-0.276059262,0.182303836,1.009,0.786
14439,LRRC47,0.057780127,0.182340863,0.8475,0.1231
14440,SEPT7P9,-0.191543946,0.182355158,1.159,0.03476
14441,CACUL1,0.065597016,0.182389595,0.886,0.2237
14442,NARFL,-0.097200039,0.182403887,1.208,0.1469
14443,RP11-332H14.2,-0.144132883,0.182465839,0,0
14444,LOXL4,-0.177127577,0.182477246,1.069,0.2119
14445,AC107081.5,-0.227719944,0.182488831,0,0
14446,GSTM5,0.251604433,0.182498933,0.9787,0.5708
14447,RP11-632L2.2,0.159238037,0.182523576,0,0
14448,PLCB3,-0.082755594,0.182529508,1.348,0.01501
14449,RP5-882O7.1,-0.229502005,0.182776472,0,0
14450,TRMT44,-0.052248846,0.182891332,0.9137,0.446
14451,RP11-574K11.32,0.131689348,0.182904166,0,0
14452,RP11-123K3.4,0.217538591,0.182914378,0,0
14453,MANEA-AS1,-0.166765778,0.182985569,1.251,0.0009474
14454,LRRC6,-0.134323786,0.183005162,1.019,0.7897
14455,CBWD3,0.153549471,0.183009493,1.108,0.1677
14456,RP11-626H12.1,0.228326563,0.183028238,0,0
14457,LINC00628,-0.221299853,0.183166313,0.9898,0.8597
14458,RP1-122P22.4,-0.134930567,0.183189662,0,0
14459,RP4-620E11.8,0.188723448,0.183200057,0,0
14460,FOXA2,-0.448822799,0.183241284,1.152,1.16E-07
14461,SNORD104,-0.231569991,0.183244149,1.14,0.006626
14462,DOK4,-0.100255791,0.183252381,0.9455,0.4419
14463,STARD7,0.065852429,0.183274768,0.8645,0.131
14464,CGGBP1,0.076000869,0.183314002,0.8496,0.0584
14465,TCHP,-0.074946895,0.183316681,1.185,0.1199
14466,RP11-329B9.3,-0.188500394,0.183346906,0,0
14467,WBP1,0.096957371,0.183417139,1.067,0.4923
14468,RP5-1042K10.13,-0.230331007,0.183465071,0,0
14469,VPS35,0.067570688,0.183507529,0.7359,0.002088
14470,RP11-2E11.9,-0.211045648,0.183508943,0,0
14471,RP6-105D16.1,-0.192472235,0.183607782,0,0
14472,FAM83H-AS1,-0.175532306,0.183644337,1.037,0.5539
14473,DCST1,-0.25274788,0.183658663,1.285,4.58E-07
14474,CTD-2524L6.3,0.128663032,0.183692913,0,0
14475,RP11-515O17.2,-0.261762544,0.183729647,0,0
14476,LINC00598,0.217020859,0.183746895,1.059,0.3425
14477,PRRC2C,-0.083735973,0.183849793,1.043,0.6449
14478,NOC3L,0.077266681,0.183909238,0.8851,0.1819
14479,ZNF385C,0.151387782,0.184065678,0.9312,0.2986
14480,RP11-159H22.2,0.195452249,0.184080184,0,0
14481,TRIM62,-0.07186989,0.184101359,1.208,0.0991
14482,SPARC,0.125960172,0.184158914,0.9195,0.1625
14483,RP11-131L12.2,-0.171081729,0.184192788,0,0
14484,VEZT,-0.064730443,0.184263588,1.127,0.31
14485,RP11-693J15.5,-0.23035694,0.184319332,0,0
14486,AKTIP,0.077962769,0.184325005,0.7259,0.0001897
14487,EXT1,-0.079888111,0.184390532,1.025,0.8105
14488,TDRD12,-0.195882285,0.18445473,1.031,0.5892
14489,RP11-458J1.1,-0.076566326,0.184528493,0,0
14490,ZSCAN32,0.080389405,0.184567381,0.9512,0.5571
14491,PDGFC,0.116803557,0.184628382,0.8207,0.01028
14492,PTGFRN,-0.173009661,0.184631368,1.132,0.04286
14493,TFF3,0.245301676,0.18465077,1.002,0.9714
14494,CNOT6,0.066345252,0.184661794,0.8527,0.09258
14495,CCDC80,-0.243999587,0.184723535,1.06,0.1763
14496,ZGRF1,-0.127429174,0.184754127,1.276,0.002849
14497,ABCC1,-0.098688162,0.184864817,1.133,0.1608
14498,UNC79,-0.189859483,0.184870824,1.057,0.3795
14499,LINC01515,0.159210022,0.184888091,0.9295,0.191
14500,RN7SL138P,-0.148774268,0.184892442,1.122,0.06075
14501,KIAA0319L,0.058489368,0.184896018,0.8524,0.1196
14502,AC002310.14,0.118468929,0.184920538,0,0
14503,HMGB3P10,0.205144694,0.184923408,0.9861,0.8054
14504,RP11-834C11.7,0.146036988,0.184930043,0,0
14505,ARPC1A,-0.083418401,0.184974284,1.072,0.5502
14506,MAP3K7CL,-0.183446504,0.185037862,1.061,0.2695
14507,TFR2,0.299290586,0.185099872,1.13,0.0001396
14508,DNAL1,0.076781163,0.185144312,0.7699,0.003536
14509,RP5-882C2.2,-0.197577026,0.185186116,0,0
14510,CEP350,0.090402008,0.185277531,0.8393,0.02689
14511,SERHL2,0.1622208,0.185374853,1.215,0.009104
14512,RRM2P3,0.237812671,0.185386627,1.041,0.3307
14513,ELMO1,0.113718627,0.185394366,0.9039,0.1023
14514,CTD-2210P15.2,0.173197429,0.185446586,0,0
14515,SPTSSB,0.310850451,0.185471673,1.067,0.06144
14516,DCAF12,0.059811145,0.185630366,0.842,0.05582
14517,GAMT,-0.194598124,0.185690392,0.8793,0.01242
14518,RNU6-796P,0.230877158,0.185699539,0.9382,0.1122
14519,CTD-2527I21.14,-0.236802587,0.185714796,0,0
14520,KIAA1407,-0.124134868,0.185723573,1.074,0.3607
14521,RP5-933K21.3,0.11029815,0.185817953,0,0
14522,ANKFY1,0.073695359,0.185877232,0.8891,0.1335
14523,RPL7P26,0.223376998,0.185965431,1.05,0.4862
14524,HSPBAP1,-0.09656269,0.185976979,1.575,0.0001289
14525,RPL5P24,0.191156596,0.186032399,0.9157,0.2104
14526,RP11-258F22.1,0.157481282,0.18610942,0,0
14527,PDCD10,0.094501743,0.186109863,0.8786,0.1737
14528,UBAC2-AS1,0.134831063,0.186118824,0.9484,0.5199
14529,GRK5,0.11160624,0.186151233,0.9453,0.4224
14530,RP11-449H3.3,0.18624091,0.186338625,0,0
14531,SLFN14,-0.257867668,0.186388797,1.136,0.01227
14532,CYP19A1,-0.283728988,0.186466596,1.168,0.0002202
14533,STUB1,0.092808159,0.186502078,0.9264,0.322
14534,BLVRB,-0.118289171,0.186508421,1.123,0.2885
14535,RPS26P47,0.273085383,0.18660312,1.047,0.3731
14536,RP11-397E7.4,-0.180752154,0.186649402,0,0
14537,CTB-51J22.1,-0.167633579,0.186723817,1.073,0.2464
14538,TOR1B,0.056774068,0.18672435,0.951,0.6663
14539,RP11-538D16.2,-0.32215504,0.186736298,0,0
14540,SIDT2,-0.064644658,0.186787376,1.286,0.05266
14541,CCDC124,-0.102979159,0.186846047,1.291,0.04181
14542,NPM1P37,0.179269837,0.186854078,0.9699,0.6623
14543,POLR1E,0.089090878,0.186895095,0.8187,0.02611
14544,RP1-28H20.3,-0.217918751,0.186907462,0,0
14545,AP1G2,-0.145163404,0.186921289,1.322,0.0001482
14546,DCHS2,-0.265529385,0.186921352,0.9643,0.3308
14547,SUCO,0.099585595,0.187033321,0.9935,0.9425
14548,POMT2,-0.083217537,0.187054328,1.123,0.2719
14549,S1PR5,0.164603646,0.187055237,1.023,0.6569
14550,PNISR,-0.129396813,0.18705762,1.265,0.003147
14551,ACKR1,0.218623017,0.187071605,1.004,0.9207
14552,AP006621.6,-0.239108616,0.187102703,0,0
14553,ENDOG,0.145159156,0.187132326,1.039,0.5986
14554,ACADS,0.145646904,0.187132857,0.8509,0.03045
14555,RP13-554M15.7,-0.177717993,0.18713572,0,0
14556,TMEM191B,-0.258848609,0.187188329,1.092,0.07258
14557,RP11-1319K7.1,0.172076953,0.187215582,0,0
14558,TOB2P1,0.150129773,0.187227937,0.9763,0.6986
14559,SLC38A7,-0.08976759,0.187296227,1.35,0.0106
14560,RP11-175P13.2,0.233200269,0.18734737,0,0
14561,TRAF3,-0.072406883,0.187365794,1.031,0.7531
14562,DCAKD,-0.075370826,0.187449255,1.214,0.1115
14563,RP11-204C16.4,0.152437423,0.187458524,0,0
14564,CTD-2325P2.3,0.16299236,0.187479535,0,0
14565,KANTR,0.171673762,0.187556699,1.103,0.1236
14566,RP5-864K19.6,-0.189770836,0.187600063,0,0
14567,WSCD1,0.187083348,0.187695971,0.9439,0.2933
14568,CHPF,-0.145642387,0.187722463,1.199,0.01536
14569,UBIAD1,0.059498641,0.187729013,0.8708,0.1782
14570,RELL2,-0.152431811,0.187741377,1.307,0.0004431
14571,ADH5P4,0.168957747,0.18777421,0.7523,0.00000107
14572,NDUFA6-AS1,0.105654551,0.18779009,0.9928,0.938
14573,ZNF345,0.111520211,0.187816731,1.045,0.6133
14574,SLC9A6,0.062578892,0.187847169,0.9228,0.3761
14575,SPTBN5,-0.232724471,0.187877385,1.126,0.01041
14576,REEP6,-0.222028722,0.187901859,1.067,0.1058
14577,RP11-205M3.3,0.233955473,0.187926585,0,0
14578,CTB-26E19.1,0.247508131,0.187951128,0,0
14579,RP4-622L5.7,-0.211338014,0.187980813,0,0
14580,CTD-2537I9.12,-0.225557167,0.187982431,0,0
14581,AC241377.2,-0.238870282,0.187995656,0,0
14582,WAPAL,0.067840043,0.188032746,0.8391,0.05422
14583,RP5-1024G6.2,-0.129996073,0.18819059,0,0
14584,BRF1,0.08526426,0.18823098,0.9667,0.7513
14585,CTD-2353F22.1,-0.21692531,0.188260103,0,0
14586,IGHV3-49,-0.373697487,0.188297112,1.033,0.2105
14587,CCDC71,0.073111052,0.188298383,0.9333,0.4972
14588,LHFPL3-AS1,-0.323921394,0.188337353,0.972,0.4512
14589,FAM167A,-0.246032902,0.188392012,1.057,0.08341
14590,AC006227.1,0.342924036,0.188479522,0,0
14591,ISM2,0.384363547,0.188517623,1.027,0.3467
14592,AD001527.7,0.265237686,0.188534147,0,0
14593,GPR113,-0.157132958,0.188761733,1.032,0.4352
14594,AC008155.1,-0.144076023,0.188784054,0,0
14595,MAP3K1,0.096737513,0.188803358,0.8133,0.007874
14596,UNC5C,0.15960273,0.188833242,0.9113,0.09228
14597,RP11-10A14.4,-0.172133517,0.188835746,0,0
14598,DYNC1H1,0.075903649,0.188864081,0.7972,0.006921
14599,PRAF2,-0.135536275,0.188995409,1.489,0.0000445
14600,D4S234E,-0.28870861,0.189052124,0.9827,0.6574
14601,NXF3,-0.223772268,0.189056236,1.167,0.001737
14602,RSPH3,0.084376098,0.189070626,0.7867,0.004579
14603,PCYT2,-0.148094257,0.189078399,1.005,0.9481
14604,ZNF606,0.084230668,0.189170975,0.9322,0.5114
14605,DMWD,-0.063410002,0.189360049,1.187,0.2258
14606,ZNF444,-0.09580353,0.189456447,1.539,0.001439
14607,RNF44,-0.071183093,0.189464927,0.9987,0.9894
14608,Dec-01,-0.276360248,0.189602222,0,0
14609,RHOXF1,-0.238058095,0.189665013,1.168,0.002517
14610,RP4-576H24.2,-0.210477534,0.189686339,0,0
14611,HIST1H2BD,-0.158109039,0.189700719,0,0
14612,UBR4,-0.086083827,0.189703419,0.9371,0.4173
14613,RP3-375P9.2,0.183218035,0.189725315,0,0
14614,RP11-436H11.1,-0.175046588,0.189764791,0,0
14615,NSFL1C,-0.055778593,0.189792064,1.062,0.6528
14616,IFNE,-0.333210867,0.189890365,1.228,7.97E-07
14617,HPGDS,0.139789807,0.189893717,0.9142,0.1551
14618,SDHA,0.113619151,0.189910603,0.8614,0.06129
14619,FAM149B1,0.056776723,0.189939225,0.8873,0.2364
14620,RBBP8,0.133056009,0.190015212,0.9047,0.161
14621,CDHR2,0.303804987,0.190073403,0.9222,0.002423
14622,PKMP3,0.137081364,0.190104635,0.9083,0.1295
14623,GIGYF1,-0.112989539,0.190131403,1.22,0.02796
14624,HDAC6,-0.091066894,0.190164324,0.8916,0.1761
14625,AKR1C8P,-0.310470956,0.19019117,0.9673,0.4323
14626,TRMT10C,0.087375966,0.190259584,0.8652,0.1229
14627,FSIP2,0.286059773,0.190269045,0.9908,0.8234
14628,CSRP2BP,0.062474112,0.190331741,0.79,0.01606
14629,GK5,0.113016499,0.190403129,1.092,0.2682
14630,LIX1L,0.072750363,0.19049368,0.9774,0.7973
14631,MARVELD1,-0.124832143,0.190510746,1.179,0.02079
14632,BICD1,-0.128110683,0.190549192,1.138,0.07944
14633,RP11-276E15.4,-0.211669267,0.190553872,0,0
14634,ZNF703,-0.169173901,0.190716632,1.322,0.0000683
14635,MAP3K10,-0.096075839,0.190722828,1.306,0.01781
14636,RP1-153G14.4,-0.125807896,0.190762007,0,0
14637,CD40LG,-0.175960352,0.190839206,0.9974,0.9548
14638,RP11-44F14.1,0.244804109,0.190847785,0,0
14639,CPLX1,0.195894777,0.190857299,1.217,0.002156
14640,RP11-171I2.3,0.246851887,0.19085879,0,0
14641,RP11-435O5.7,-0.233030528,0.19097444,0,0
14642,GATSL2,0.123454369,0.190978428,0.8533,0.02348
14643,SERPINB6,0.070984456,0.191040287,0.9849,0.9068
14644,LINC01354,0.290020288,0.191072724,0.8781,0.0003101
14645,MAP4,-0.058966462,0.191072956,0.9598,0.6928
14646,MKS1,-0.066539412,0.191128808,1.394,0.01322
14647,EIF4A2P1,0.210008404,0.191167551,0.9737,0.6333
14648,ANTXR1,0.151593964,0.191186491,0.9284,0.1929
14649,TRGV5,-0.233281808,0.191199231,1.071,0.08115
14650,THUMPD3-AS1,-0.136813529,0.191325481,1.442,0.0000146
14651,EFCAB2,-0.097540456,0.19132676,0.9643,0.7052
14652,GACAT2,0.314029929,0.191327191,1.001,0.9734
14653,PIGQ,-0.109313637,0.191359408,1.115,0.2733
14654,LA16c-390H2.4,-0.221764304,0.191409794,1.08,0.08372
14655,RP11-187C18.3,0.149099268,0.191433075,0,0
14656,CCDC112,-0.089364832,0.191444111,1.066,0.4822
14657,ST7-AS1,0.11732218,0.191469685,0.9694,0.6894
14658,RP11-392P7.6,0.177468476,0.191494552,0,0
14659,RAB5A,0.069962299,0.191516155,0.9382,0.5425
14660,EID3,-0.105416422,0.191569047,1.096,0.3173
14661,REEP2,-0.277943358,0.19158656,1.217,0.00000754
14662,EDC4,-0.069983496,0.191616061,1.053,0.5818
14663,LENG8-AS1,-0.16281981,0.191624415,1.238,0.000823
14664,SLC35A4,-0.069678187,0.191675092,0.9177,0.394
14665,LINC00862,-0.331880671,0.191689644,1.158,0.000122
14666,POLE2,-0.121225671,0.191791509,1.408,0.0001048
14667,C9orf72,0.101782748,0.19180143,1.02,0.8065
14668,RP11-34P13.15,-0.278326298,0.191848114,0,0
14669,EYA1,-0.374091299,0.191856962,1.169,2.75E-08
14670,RP11-53O19.3,0.087340104,0.191885465,0,0
14671,RP11-157P1.4,-0.199289903,0.191907483,0,0
14672,PALM3,-0.225565727,0.191931954,0.9742,0.4666
14673,RP11-787I22.3,0.187506174,0.191933471,0,0
14674,GORASP1,0.062931454,0.191955167,1.015,0.8877
14675,RABEP2,-0.106837831,0.191985082,1.464,0.001507
14676,FENDRR,0.22638175,0.192041616,0.8972,0.01992
14677,OR7E47P,0.214040575,0.192082946,0.899,0.00232
14678,KCNS1,-0.48572175,0.192130658,1.107,0.00000607
14679,AARD,0.268906232,0.192218743,1.039,0.3292
14680,GSS,-0.097283284,0.192278604,1.096,0.4111
14681,SMUG1,-0.09576042,0.192300051,1.518,0.003428
14682,RP4-614O4.11,0.148458719,0.192313868,0,0
14683,ELP3,0.08352967,0.192327654,0.8077,0.01851
14684,RP11-12G12.7,-0.134130515,0.19234465,0,0
14685,SLC9C1,0.230675318,0.192387492,0.9381,0.2088
14686,PDHA1,0.099760159,0.19248778,0.9634,0.6567
14687,CYBB,-0.188250972,0.192568666,0.9792,0.6347
14688,C5orf17,0.392763165,0.192582394,0.9813,0.6258
14689,TM4SF5,-0.281669792,0.192618586,0.9427,0.01463
14690,ASRGL1,0.188489938,0.192624625,0.8318,0.000061
14691,RP11-147L13.12,-0.094794799,0.192645231,0,0
14692,RP1L1,0.196072169,0.192706129,0.9247,0.1809
14693,PAPOLA,0.06707427,0.192828338,0.8796,0.232
14694,AKAP13,0.083765822,0.192834989,0.8455,0.032
14695,RP11-30K9.6,0.171600805,0.192877992,0,0
14696,VEPH1,0.156697435,0.193089577,0.879,0.01006
14697,HIST1H3H,-0.248883099,0.193093653,1.035,0.3536
14698,LYG2,-0.241044593,0.193093688,1.296,0.00000348
14699,CBFA2T3,0.137518525,0.193102286,0.9868,0.8474
14700,KLHL10,0.185873342,0.193116107,1.038,0.6038
14701,ABHD8,-0.094017924,0.193136806,1.059,0.5799
14702,SHOC2,0.066940063,0.193141425,0.8625,0.1167
14703,SLC16A6,0.175499233,0.193168853,1.114,0.04704
14704,LOXL1-AS1,-0.175153951,0.193204593,1.245,0.0001176
14705,AC068499.10,0.215726519,0.193230522,0,0
14706,CTB-32O4.2,0.135083975,0.193280075,1.164,0.02145
14707,CTD-2015G9.2,0.197768216,0.193303973,0,0
14708,USP15,-0.059965107,0.193418389,1.059,0.6524
14709,NYAP1,-0.18591688,0.193458242,1.109,0.01872
14710,MRPL38,-0.105170478,0.193468853,1.44,0.000759
14711,RP11-304L19.1,-0.203661642,0.193475115,0,0
14712,PSMA3,-0.071907108,0.193600151,1.253,0.1436
14713,THUMPD3,0.072911714,0.193658373,0.8892,0.2605
14714,VWA5A,0.119073919,0.193745135,1.001,0.9858
14715,RPS15AP12,-0.152978286,0.193796844,1.031,0.643
14716,RP11-484L8.1,0.214081367,0.193801804,0,0
14717,KRT8P46,0.151244218,0.193894974,0.8768,0.02627
14718,AC083873.4,0.138323147,0.193905601,0,0
14719,RP11-106M3.3,-0.162809099,0.193975655,0,0
14720,C1orf189,0.190265706,0.194033925,0.9271,0.3427
14721,SNX18P3,0.285730084,0.194049825,1.006,0.8791
14722,RP11-388M20.1,0.22171065,0.194089511,0,0
14723,RP11-673E1.1,0.258625952,0.194111604,0,0
14724,KDM7A,0.093105167,0.194181572,0.9385,0.438
14725,SYTL3,-0.139868923,0.194239305,1.035,0.6249
14726,LPAR6,-0.127239615,0.194287307,1.102,0.1799
14727,MLXIPL,0.240464658,0.194327647,0.9292,0.04873
14728,SMAD7,0.098745938,0.19434669,0.9776,0.7749
14729,RP11-585P4.6,-0.143013631,0.194415251,0,0
14730,LINC00920,-0.11659107,0.194493022,0.9821,0.8061
14731,DNAH8,-0.236840138,0.194511515,1.158,0.007344
14732,RP11-266L9.4,-0.103195268,0.194513138,0,0
14733,RP11-318A15.2,-0.141877885,0.194565223,0,0
14734,RP4-555D20.2,-0.423335076,0.194604423,0,0
14735,AC104650.2,-0.24911339,0.194606068,0,0
14736,RP11-332L8.1,-0.273616663,0.194633574,0,0
14737,MMS22L,-0.096330057,0.194653136,1.083,0.3797
14738,NFATC2,-0.114893422,0.194664426,1.007,0.9265
14739,BTF3L4,-0.06300567,0.194676107,1.191,0.2003
14740,CTD-2002H8.2,0.183416982,0.194746006,0,0
14741,TCERG1L,0.317020427,0.194763105,1.085,0.05426
14742,EML3,-0.078255259,0.194888671,1.392,0.004166
14743,ZSCAN1,0.210325448,0.194950992,0.9182,0.09162
14744,EDNRA,0.15133198,0.194952786,0.9643,0.538
14745,BHLHA15,-0.243423602,0.194985916,0.9793,0.5878
14746,ZDHHC24,-0.079352521,0.195006615,1.232,0.1551
14747,CHRFAM7A,-0.194141327,0.195066292,1.133,0.02242
14748,MFSD11,0.050959711,0.195094414,1.012,0.9275
14749,FAM90A2P,-0.233805639,0.195170814,1.188,0.009252
14750,DNASE2B,0.269785659,0.195209498,0.894,0.006609
14751,CTB-47B8.1,-0.216834209,0.195276055,0,0
14752,ALMS1-IT1,-0.159369785,0.195366052,1.399,0.00000327
14753,LINC00511,-0.232032011,0.195406557,1.224,0.00000426
14754,GDPD5,-0.132884086,0.195484981,1.308,0.0006125
14755,RP11-1102P22.1,-0.168499777,0.195535771,0,0
14756,Sep-08,-0.064946484,0.195564748,0,0
14757,SDHAP1,-0.161390618,0.195598826,1.154,0.02217
14758,FTH1P20,-0.125963921,0.195632149,1.04,0.64
14759,SMAP1,0.066161195,0.195724734,0.8585,0.1752
14760,PTBP3,0.084002694,0.195992458,0.8688,0.0796
14761,ARSD,0.09276474,0.196044398,0.8148,0.009401
14762,LMAN2L,-0.069639863,0.196076437,1.026,0.8175
14763,RP11-1260E13.2,0.164172871,0.196090837,0,0
14764,OSBPL10,0.083897293,0.196116272,0.911,0.2886
14765,PEX26,-0.061198255,0.196228083,0.9573,0.6979
14766,GAPDHP62,-0.185799698,0.196270953,1.198,0.007402
14767,RP11-687E1.2,0.245653051,0.196302527,0,0
14768,Y_RNA,-0.188102885,0.196430914,0,0
14769,CASC1,0.142700388,0.196491159,0.8039,0.0000414
14770,B3GALT6,-0.089126057,0.196527286,1.289,0.03835
14771,ACY3,-0.203814556,0.196545863,0.9406,0.03219
14772,TMED1,0.099940114,0.196609787,0.9278,0.3855
14773,RP1-193H18.2,0.120205185,0.19666027,0,0
14774,C1orf229,0.131810507,0.196664926,0.8986,0.1218
14775,ADAM11,-0.192570476,0.196681564,1.229,0.0001833
14776,EFNB3,0.198899527,0.196710499,1.005,0.9113
14777,KIFC3,0.096217949,0.19672484,0.967,0.6557
14778,KPNB1,-0.057596227,0.196765948,1.046,0.6949
14779,USP38,0.090335469,0.196793604,0.7561,0.0004366
14780,MRPS9,0.062075885,0.196797206,0.9069,0.3895
14781,RP11-1167A19.2,-0.248361199,0.196820733,0,0
14782,RP11-124D2.7,0.254786955,0.196821268,0,0
14783,SNORA65,0.206769257,0.196830232,1.205,0.008297
14784,RP11-359G22.2,0.166554866,0.196890209,0,0
14785,AC104532.4,-0.176561207,0.196967714,0,0
14786,GYS1,-0.09698644,0.196983056,1.161,0.1365
14787,RDH10,-0.14382956,0.197127261,0.9586,0.5022
14788,NMBR,0.209685624,0.197183234,0.8428,0.005039
14789,RP11-259K5.2,0.1375761,0.197218166,0,0
14790,SGTA,-0.08260784,0.197258628,1.14,0.3379
14791,MED4-AS1,-0.192025721,0.197275863,1.199,0.01012
14792,PRPF3,-0.106194387,0.197304929,1.273,0.007161
14793,HTRA2,0.062188671,0.197419988,0.9456,0.5686
14794,RP11-193E15.4,-0.213168715,0.197434589,0,0
14795,FLG,0.25211859,0.197501772,1.016,0.6585
14796,KMT2E,0.070202461,0.197538244,0.9007,0.2221
14797,CTD-2650P22.1,-0.19698901,0.197620227,0,0
14798,AC018890.6,0.231514945,0.197628475,0,0
14799,RP11-359E3.4,-0.134387157,0.197631423,0,0
14800,GTPBP8,0.087809085,0.197691998,0.8136,0.01252
14801,RP11-778D9.12,-0.140242718,0.197706709,0,0
14802,AC007365.4,-0.151727447,0.197725036,0,0
14803,MLST8,-0.094548966,0.197741538,1.224,0.1063
14804,D2HGDH,-0.14626443,0.19780973,1.072,0.3328
14805,RPS27A,-0.08668034,0.197873841,1.093,0.4296
14806,CEBPA,-0.173920428,0.197963083,1.035,0.4968
14807,RP11-468E2.5,-0.190344251,0.198088685,0,0
14808,AC010492.2,-0.269243642,0.198142555,0,0
14809,GPR89A,-0.086247209,0.198179172,1.08,0.5268
14810,RP11-301O19.1,-0.154348088,0.198244587,0,0
14811,TAGLN3,-0.360359413,0.198246664,1.053,0.05223
14812,RP11-262H14.5,0.206470427,0.198339657,0,0
14813,TRIM55,0.202034915,0.198346884,0.8792,0.0002208
14814,HAVCR1,0.262429465,0.198360821,0.966,0.1806
14815,DIO3OS,0.308540148,0.198435619,1.065,0.09295
14816,GDF6,0.239439686,0.198501989,0.91,0.0005765
14817,PSMD5,0.074109532,0.198595048,0.8702,0.1297
14818,AC002511.2,-0.341384421,0.198701216,0,0
14819,SCN7A,0.364019904,0.19876079,1.002,0.9429
14820,PDE1B,0.136732716,0.198791345,1.045,0.4937
14821,PITPNM2,-0.098070513,0.198832368,1.217,0.04379
14822,SEMA6A,0.146025729,0.198901219,0.8752,0.004962
14823,NAPSA,-0.298368182,0.198912878,0.8973,0.0001593
14824,SNORA11,0.256978771,0.198964497,1.167,0.01299
14825,RP11-325K4.2,0.178517391,0.199048654,0,0
14826,BNIP3P27,0.295214993,0.199058244,1.186,0.001501
14827,AC004893.11,0.088685143,0.199059135,0,0
14828,RP11-439A17.9,-0.197679599,0.199079781,0,0
14829,ATHL1,-0.261991508,0.199097463,1.142,0.0003573
14830,STK33,0.307129654,0.199146918,1.018,0.5039
14831,AKAP12,0.176848983,0.199168368,0.9145,0.05481
14832,GXYLT1,0.083842995,0.199184083,0.9317,0.3964
14833,C14orf79,0.090162334,0.199256508,0.96,0.6856
14834,MAP7D3,-0.088931392,0.199295039,1.021,0.8015
14835,EGFLAM,-0.179712573,0.199374461,1.022,0.6778
14836,GPR37,0.312729111,0.199409956,0.9953,0.8706
14837,CTA-292E10.6,-0.12155392,0.199424402,0,0
14838,RP5-857K21.7,0.215227266,0.199450943,0,0
14839,SLC39A7,-0.073112884,0.199511104,1.02,0.8431
14840,MOSPD3,-0.092622314,0.19953161,1.202,0.1211
14841,PAK3,-0.230581055,0.199574239,1.024,0.5511
14842,BTN2A3P,-0.121279362,0.199684005,1.089,0.2277
14843,LA16c-380A1.2,0.195304966,0.199745516,0,0
14844,AC097523.1,-0.144815681,0.199777659,0,0
14845,RP11-777B9.5,-0.290486332,0.199815651,0,0
14846,SMOC2,0.238867494,0.199817377,1.033,0.4377
14847,CTD-2047H16.3,0.250925121,0.199892797,0,0
14848,RP11-59C5.3,0.165504126,0.199900093,0,0
14849,DISC1,0.100871748,0.199912806,0.9298,0.2423
14850,TRAM1L1,0.127259532,0.199981681,0.9309,0.2374
14851,TMEM179B,-0.074020165,0.200023864,1.137,0.3328
14852,RP11-571M6.17,-0.101139806,0.200163244,0,0
14853,HNRNPCP2,0.091848372,0.20017399,0.9653,0.6226
14854,EFNA1,0.124896869,0.200270104,0.9082,0.1757
14855,RP11-285J16.1,-0.221599504,0.20029887,0,0
14856,PCIF1,0.061040269,0.200333753,0.9166,0.4288
